reg,hex,operator,operator_legal,category,permit_no,permit_valid_until,model,type_icao,type_manufacturer,type_name,wing,seats,seats_raw,role,source_file,source_as_on,first_seen,registered_on,msn,year_of_manufacture,owner,lessor
VT-ISL,8013F6,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2023-01-31,,,,,
VT-ISM,8013F3,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2023-01-31,,,,,
VT-ISN,8013F2,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2023-01-31,,,,,
VT-ISO,8013F8,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2020-09-07,9561,2020,CELESTIAL AVIATION TRADING I5 LIMITED,CELESTIAL AVIATION TRADING I5 LIMITED
VT-ISP,8013FB,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2020-11-04,10080,2020,EINN VOLANT AIRCRAFT LEASING IRELAND 1 LIMITED,EINN VOLANT AIRCRAFT LEASING IRELAND 1 LIMITED
VT-ISQ,8013FC,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2020-11-24,9382,2020,CELESTIAL AVIATION TRADING 15 LIMITED,CELESTIAL AVIATION TRADING 15 LIMITED
VT-ISR,8013FD,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2020-11-27,10170,2020,EINN VOLANT AIRCRAFT LEASING IRELAND 1 LIMITED,NA
VT-ISS,80140A,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2020-12-10,10332,2020,CELESTIAL AVIATION TRADING 32 LIMITED,CELESTIAL AVIATION TRADING 32 LIMITED
VT-IST,801432,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2021-04-09,10444,2021,CELESTIAL AVIATION TRADING 32 LIMITED,CELESTIAL AVIATION TRADING 32 LIMITED
VT-ISU,801434,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2021-05-21,10503,2021,CELESTIAL AVIATION TRADING 32 LIMITED,CELESTIAL AVIATION TRADING 32 LIMITED
VT-ISV,801431,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2023-01-31,,,,,
VT-ISW,801458,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2023-01-31,,,,,
VT-ISX,801454,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2023-01-31,,,,,
VT-ISY,801460,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2023-01-31,,,,,
VT-ISZ,801462,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2022-08-30,10420,2022,CALF (A1) AVIATION IRELAND DAC,CALF (A1) AVIATION IRELAND DAC
VT-ITB,800B73,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2017-03-07,2016-09-20,6720,2016,AVOLON AEROSPACE IRELAND AOE 50 LTD,AVOLON AEROSPACE IRELAND AOE 50 LTD
VT-ITG,800B78,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2017-03-07,,,,,
VT-ITI,800BB5,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2017-03-07,2016-09-23,6952,2016,M/S. SUBRIA FOUR LIMITED,M/S. SUBRIA FOUR LIMITED
VT-ITK,800BB7,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2017-03-07,2016-08-08,7001,2016,M/S SUBRIA THREE LIMITED,M/S SUBRIA THREE LIMITED
VT-ITL,800BC0,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2017-03-07,2016-09-30,7033,2016,M/S SUBRIA FIVE LIMITED,M/S SUBRIA FIVE LIMITED
VT-ITN,8008C2,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2017-03-07,2016-12-29,7252,2016,M/S AVOLON AEROSPACE (IRELAND) AOE 52 LIMITED,M/S AVOLON AEROSPACE (IRELAND) AOE 52 LIMITED
VT-ITO,8008C3,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2017-03-07,,,,,
VT-ITP,800BC4,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2017-03-07,2018-06-08,7331,2017,M/S ORIENTAL LEASING 8 COMPANY LIMITED,M/S ORIENTAL LEASING 8 COMPANY LIMITED
VT-ITQ,800C10,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2017-07-20,2018-06-05,7391,2017,M/S ORIENTAL LEASING 8 COMPANY LIMITED,M/S ORIENTAL LEASING 8 COMPANY LIMITED
VT-ITR,800C11,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2017-07-20,2018-06-05,7396,2017,M/S ORIENTAL LEASING 8 COMPANY LIMITED,M/S ORIENTAL LEASING 8 COMPANY LIMITED
VT-ITS,800C01,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2017-03-07,2018-06-05,6772,2017,M/S ORIENTAL LEASING 8 COMPANY LIMITED,M/S ORIENTAL LEASING 8 COMPANY LIMITED
VT-ITT,800C15,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2017-07-20,2018-06-08,7504,2017,M/S ORIENTAL LEASING 8 COMPANY LIMITED,M/S ORIENTAL LEASING 8 COMPANY LIMITED
VT-ITU,800C16,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2017-07-20,2017-05-11,7510,2017,JACKSON SQUARE AVIATION IRELAND LTD,JACKSON SQUARE AVIATION IRELAND LTD
VT-ITV,800C12,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2017-07-20,2018-06-05,6829,2017,M/S ORIENTAL LEASING 8 COMPANY LIMITED,M/S ORIENTAL LEASING 8 COMPANY LIMITED
VT-ITW,800C17,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2017-09-26,2017-08-24,7618,2017,M/S JACKSON SQUARE AVIATION IRELAND LTD,M/S JACKSON SQUARE AVIATION IRELAND LTD
VT-ITX,800C38,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2018-02-01,2017-09-26,6904,2017,JACKSON SQUARE AVIATION IRELAND LTD,JACKSON SQUARE AVIATION IRELAND LTD
VT-ITY,800C39,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2018-02-01,2017-11-01,6946,2017,JACKSON SQUARE AVIATION IRELAND LTD,JACKSON SQUARE AVIATION IRELAND LTD
VT-ITZ,800C63,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2018-02-01,,,,,
VT-IUO,8013D4,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-271NX,A21N,Airbus,Airbus A321neo,FW,222,222/232,passenger,sch-oper.pdf,2026-08-31,2023-01-31,,,,,
VT-IUP,8013E5,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-271NX,A21N,Airbus,Airbus A321neo,FW,222,222/232,passenger,sch-oper.pdf,2026-08-31,2023-01-31,,,,,
VT-IUQ,8013CE,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-271NX,A21N,Airbus,Airbus A321neo,FW,222,222/232,passenger,sch-oper.pdf,2026-08-31,2023-01-31,,,,,
VT-IUR,8013EF,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-271NX,A21N,Airbus,Airbus A321neo,FW,222,222/232,passenger,sch-oper.pdf,2026-08-31,2023-01-31,,,,,
VT-IUS,8013D5,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-271NX,A21N,Airbus,Airbus A321neo,FW,222,222/232,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2020-10-28,9347,2020,FPAC AIRCRAFT LEASING II LIMITED,FPAC AIRCRAFT LEASING II LIMITED
VT-IUT,8013D9,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-271NX,A21N,Airbus,Airbus A321neo,FW,222,222/232,passenger,sch-oper.pdf,2026-08-31,2023-01-31,,,,,
VT-IUU,8013FF,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-271NX,A21N,Airbus,Airbus A321neo,FW,222,222/232,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2020-10-06,9236,2020,JACKSON SQUARE AVIATION IRELAND LIMITED,JACKSON SQUARE AVIATION IRELAND LIMITED
VT-IUV,8013CF,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-271NX,A21N,Airbus,Airbus A321neo,FW,222,222/232,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2020-06-03,9396,2020,"DYNAM AVIATION IRELAND THREE LIMITED DUBLIN 2, IRELAND",SAME AS OWNER
VT-IUW,8013F0,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-271NX,A21N,Airbus,Airbus A321neo,FW,222,222/232,passenger,sch-oper.pdf,2026-08-31,2023-01-31,,,,,
VT-IUX,801400,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-271NX,A21N,Airbus,Airbus A321neo,FW,222,222/232,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2020-10-07,9436,2020,JACKSON SQUARE AVIATION IRELAND LIMITED,JACKSON SQUARE AVIATION IRELAND LIMITED
VT-IUY,801401,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-271NX,A21N,Airbus,Airbus A321neo,FW,222,222/232,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2020-10-07,9443,2020,JACKSON SQUARE AVIATION IRELAND LIMITED,JACKSON SQUARE AVIATION IRELAND LIMITED
VT-IUZ,801402,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2020-12-08,10155,2020,BOC AVIATION (IRELAND) LIMITED,NA
VT-IVA,800C70,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2018-02-01,2018-06-19,7912,2017,M/S GAT MI VOL I DESIGNATED ACTIVITY COMPANY,M/S GAT MI VOL I DESIGNATED ACTIVITY COMPANY
VT-IVB,800C71,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2018-02-01,,,,,
VT-IVC,800C72,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2018-02-01,2018-07-25,7931,2017,M/S PEMBROKE AIRCRAFT LEASING 11 LIMITED,M/S PEMBROKE AIRCRAFT LEASING 11 LIMITED
VT-IVD,800C73,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2018-02-01,2017-12-13,7961,2017,M/S SKY AIRCRAFT INDIAN ONE LIMITED,M/S SKY AIRCRAFT INDIAN ONE LIMITED
VT-IVE,800C74,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2018-02-01,2018-07-25,7083,2017,M/S PEMBROKE AIRCRAFT LEASING 11 LIMITED,M/S PEMBROKE AIRCRAFT LEASING 11 LIMITED
VT-IVF,800C75,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2018-02-01,2018-07-25,7192,2017,M/S PEMBROKE AIRCRAFT LEASING 11 LIMITED,M/S PEMBROKE AIRCRAFT LEASING 11 LIMITED
VT-IVK,800CCB,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2019-07-15,,,,,
VT-IVP,800CDC,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2018-10-31,,,,,
VT-IVQ,800CDD,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2018-10-31,2018-07-31,8387,2018,M/S SKY AIRCRAFT INDIAN THREE LIMITED,M/S SKY AIRCRAFT INDIAN THREE LIMITED
VT-IVX,800D01,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2018-10-31,2018-09-20,8417,2018,M/S SKY AIRCRAFT INDIAN FOUR LIMITED,M/S SKY AIRCRAFT INDIAN FOUR LIMITED
VT-IVY,800D00,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2018-10-31,,,,,
VT-IVZ,800CEE,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-271N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2018-10-31,,,,,
VT-IWM,8016DE,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2024-11-15,2024-09-19,12152,2024,INDICAN LEASING 1 DESIGNATED ACTIVITY COMPANY,INTERGLOBE AVIATION FINANCIAL SERVICES IFSC PRIVATE LIMITED
VT-IWN,8016D2,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2024-11-15,2024-08-16,12171,2024,SFVI AIRCRAFT HOLDINGS IRE 1 DESIGNATED ACTIVITY COMPANY,SAME AS OWNER
VT-IWQ,801742,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2025-04-30,2024-12-10,12245,2024,SFVI AIRCRAFT HOLDINGS IRE 3 DESIGNATED ACTIVITY COMPANY,SAME AS OWNER
VT-IWT,80174D,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2025-04-30,2025-01-03,12358,2024,INDICAN LEASING 6 DESIGNATED ACTIVITY COMPANY,INTERGLOBE AVIATION FINANCIAL SERVICES IFSC PRIVATE LIMITED
VT-IWU,80175A,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2025-04-30,2025-01-23,12252,2025,AIRCASTLE (IRELAND) DESIGNATED ACTIVITY COMPANY,INTERGLOBE AVIATION FINANCIAL SERVICES IFSC PRIVATE LIMITED
VT-IWV,80174A,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A321-252NX,A21N,Airbus,Airbus A321neo,FW,,,passenger,sch-oper.pdf,2026-08-31,2025-04-30,2025-01-03,12143,2024,INDICAN LEASING 6 DESIGNATED ACTIVITY COMPNAY,INTERGLOBE AVIATION FINANCIAL SERVICES IFSC PRIVATE LIMITED
VT-IWW,801649,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-214,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2026-08-31,2024-06-10,2024-05-21,4720,2011,MACQUARIE AIRFINANCE ACQUISITIONS (IRELAND) LIMITED,SAME AS OWNER
VT-IWX,801678,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-214,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2026-08-31,2025-04-30,2024-11-20,4399,2010,MACQUARIE AVIATION FINANCE IRELAND (5) LIMITED,SAME AS OWNER
VT-IWY,801752,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-214,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2026-08-31,2025-04-30,2025-01-20,4438,2010,MACQUARIE AVIATION FINANCE IRELAND (5) LIMITED,MACQUARIE AVIATION FINANCE IRELAND (5) LIMITED
VT-IWZ,8016B5,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-214,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2026-08-31,2024-11-15,2024-06-26,4655,2011,AERGEN AIRCRFT NINETEEN LIMITED,SAME AS OWNER
VT-IXA,80169C,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2024-06-10,2024-05-07,12097,2024,SMBC AVIATION CAPITAL LIMITED,SAME AS OWNER
VT-IXC,800C57,Aviation Connectivity & Infrastructure Developers,Aviation Connectivity & Infrastructure Developers Pvt. Ltd.,non-scheduled,#07/2023,2028-07-02,TECNAM P2010TDI,P06T,Tecnam,Tecnam P2006T,FW,3,3,passenger,ns-oper.pdf,2026-08-31,2017-09-26,,,,,
VT-IXD,8016A3,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2024-11-15,2024-06-07,12119,2024,ORIX AVIATION SYSTEMS LIMITED,SAME AS OWNER
VT-IXE,8016A5,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2024-11-15,2024-06-12,12130,2024,JACKSON SQUARE AVIATION IRELAND LIMITED,SAME AS OWNER
VT-IXF,8016BA,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2024-11-15,2024-08-13,12192,2024,SMBC AVIATION CAPITAL LIMITED,SAME AS OWNER
VT-IXG,8016BE,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2024-11-15,2024-07-24,12214,2024,ORIX AVIATION SYSTEMS LIMITED,SAME AS OWNER
VT-IXH,8016BF,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2024-11-15,2024-07-25,12235,2024,SMBC AVIATION CAPITAL LIMITED,SAME AS OWNER
VT-IXI,8016C5,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2024-11-15,2024-08-09,12246,2024,JACKSON SQUARE AVIATION IRELAND LIMITED,SAME AS OWNER
VT-IXJ,8016E0,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2024-11-15,2024-09-25,12278,2024,SMBC AVIATION CAPITAL LIMITED,SAME AS OWNER
VT-IXK,8016DA,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2024-11-15,2024-09-20,12268,2024,JACKSON SQUARE AVIATION IRELAND LIMITED,SAME AS OWNER
VT-IXL,8016E1,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2024-11-15,2024-10-01,12293,2024,SMBC AVIATION CAPITAL LIMITED,SAME AS OWNER
VT-IXM,801729,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2024-11-15,2024-10-25,12026,2024,MAPLE AIRCRAFT COMPANY LEASING IRELAND (2) LIMITED,SAME AS OWNER
VT-IXN,801726,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2024-11-15,2024-10-11,12321,2024,SMBC AVIATION CAPITAL LIMITED,SAME AS OWNER
VT-IXO,80172D,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2024-11-15,2024-10-30,12179,2024,JACKSON SQURE AVIATION IRELAND LIMITED,SAME AS OWNER
VT-IXP,801733,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2025-04-30,2024-11-20,12038,2024,JACKSON SQUARE AVIATION IRELAND LIMITED,SAME AS OWNER
VT-IXQ,80183A,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2026-05-31,2025-11-07,12796,2025,MAPPLE AIRCRAFT COMPANY LEASING IRELAND (2) LIMITED,MAPPLE AIRCRAFT COMPANY LEASING IRELAND (2) LIMITED
VT-IXR,800C83,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,A320-214,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2026-08-31,2018-02-01,2017-12-14,3758,2009,CIT AEROSPACE INTERNATIONAL,CIT AEROSPACE INTERNATIONAL
VT-IXS,8013E3,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,ATR72-600,AT76,ATR,ATR 72-600,FW,74,74,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2021-06-25,1566,2021,INTERGLOBE AVIATION LIMITED,NA
VT-IXT,801828,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,A320-251N,A20N,Airbus,Airbus A320neo,FW,186,186,passenger,sch-oper.pdf,2026-08-31,2026-05-31,2025-10-15,12806,2025,SMBC AVIATION CAPITAL LIMITED,SMBC AVIATION CAPITAL LIMITED
VT-IXV,8013E4,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,ATR72-600,AT76,ATR,ATR 72-600,FW,74,74,passenger,sch-oper.pdf,2026-08-31,2023-01-31,2021-06-29,1570,2021,AJNA AIRCRAFT I DESIGNATED ACTIVITY COMPANY,AJNA AIRCRAFT I DESIGNATED ACTIVITY COMPANY
VT-IXW,801415,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,ATR72-600,AT76,ATR,ATR 72-600,FW,74,74,passenger,sch-oper.pdf,2026-08-31,2023-01-31,,,,,
VT-IXX,801414,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,ATR72-600,AT76,ATR,ATR 72-600,FW,74,74,passenger,sch-oper.pdf,2026-08-31,2023-01-31,,,,,
VT-IXY,801465,IndiGo,Interglobe Aviation Ltd.,scheduled,S-19,2027-08-02,ATR72-600,AT76,ATR,ATR 72-600,FW,74,74,passenger,sch-oper.pdf,2026-08-31,2023-01-31,,,,,
