reg,hex,operator,operator_legal,category,permit_no,permit_valid_until,model,type_icao,type_manufacturer,type_name,wing,seats,seats_raw,role,source_file,source_as_on,first_seen,registered_on,msn,year_of_manufacture,owner,lessor
VT-AXR,8003F1,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2007-09-26,,,,,
VT-AXT,8003F2,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2007-09-26,,,,,
VT-AXU,8003F3,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2007-11-13,,,,,
VT-AXW,800448,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2009-01-20,,,,,
VT-AXX,800449,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2009-01-20,,,,,
VT-AXZ,80044A,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2009-04-30,,,,,
VT-AYA,80044B,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2009-04-30,,,,,
VT-AYB,80044C,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2010-06-30,2011-01-12,,,M/S KAI TING AIRCRAFT LLC,M/S MUNSTER AVIATION TH LEASING LTD
VT-AYC,80044D,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2010-06-30,2009-10-05,,,M/S KAI TING AIRCRAFT LLC,M/S MUNSTER AVIATION TH LEASING LTD
VT-AYD,80044E,Air India Express,Air India Express Ltd.,scheduled,S-14,2028-04-21,B737-800,B738,Boeing,Boeing 737-800,FW,186,186,passenger,sch-oper.pdf,2024-06-10,2010-06-30,2009-12-29,,,M/S KAI TING AIRCRAFT LLC,M/S MUNSTER AVIATION TH LEASING LTD
VT-BAZ,80154E,Quikjet Cargo,Quikjet Cargo Airlines Pvt. Ltd.,scheduled,S-34,2027-12-11,B737-800 (Freighter),B738,Boeing,Boeing 737-800,FW,,Cargo,cargo,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-BDA,800B45,Blue Dart Aviation,Blue Dart Aviation Ltd.,scheduled,S-13,2027-12-30,B757-200,B752,Boeing,Boeing 757,FW,,Cargo,cargo,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-BDB,800BA9,Blue Dart Aviation,Blue Dart Aviation Ltd.,scheduled,S-13,2027-12-30,B757-200,B752,Boeing,Boeing 757,FW,,Cargo,cargo,sch-oper.pdf,2024-06-10,2017-03-07,,,,,
VT-BDC,80156E,Blue Dart Aviation,Blue Dart Aviation Ltd.,scheduled,S-13,2027-12-30,B737-800 Freighter,B738,Boeing,Boeing 737-800,FW,,Cargo,cargo,sch-oper.pdf,2024-06-10,2023-06-15,,,,,
VT-BDD,801570,Blue Dart Aviation,Blue Dart Aviation Ltd.,scheduled,S-13,2027-12-30,B737-800 Freighter,B738,Boeing,Boeing 737-800,FW,,Cargo,cargo,sch-oper.pdf,2024-06-10,2023-06-15,,,,,
VT-BDM,800446,Blue Dart Aviation,Blue Dart Aviation Ltd.,scheduled,S-13,2027-12-30,B757-200,B752,Boeing,Boeing 757,FW,,Cargo,cargo,sch-oper.pdf,2024-06-10,2007-11-13,2010-10-26,,,M/s DHL AVIATION ( NETHERLANDS) BV,M/s DHL AVIATION ( NETHERLANDS) BV
VT-BDN,8004FB,Blue Dart Aviation,Blue Dart Aviation Ltd.,scheduled,S-13,2027-12-30,B757-200,B752,Boeing,Boeing 757,FW,,Cargo,cargo,sch-oper.pdf,2024-06-10,2009-01-20,2010-10-26,,,M/s DHL AVIATION ( NETHERLANDS) BV,M/s DHL AVIATION ( NETHERLANDS) BV
VT-BDO,800728,Blue Dart Aviation,Blue Dart Aviation Ltd.,scheduled,S-13,2027-12-30,B757-200,B752,Boeing,Boeing 757,FW,,Cargo,cargo,sch-oper.pdf,2024-06-10,2013-05-02,,,,,
VT-BDQ,800B05,Blue Dart Aviation,Blue Dart Aviation Ltd.,scheduled,S-13,2027-12-30,B757-200,B752,Boeing,Boeing 757,FW,,Cargo,cargo,sch-oper.pdf,2024-06-10,2014-06-12,,,,,
VT-BHK,801644,FlyBig,Big Charter Pvt. Ltd.,scheduled,SC-07,2025-12-13,DHC-6-400 (Twin Otter),DHC6,De Havilland Canada,DHC-6 Twin Otter,FW,19,19,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-BKK,800D8B,Air India Express,AIX Connect Pvt. Ltd.,scheduled,S-26,2029-05-06,A320-214,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2019-07-15,,,,,
